Name,Distance,Mass,Radius,Constellation,Rightascension,Declination,App.mag.,Spectraltype,Brown dwarf,Orbitalperiod,Semimajoraxis,Ecc.,Discovery year,Link
HD 4113,136,60,,Sculptor,00h 43m 12.60s,−37° 58′ 57.48″,7.88,G5V,C,73000,20,,2006,https://en.wikipedia.org/wiki/HD_4113
Gliese 229,19,40,,Lepus,06h 10m 35s,–21° 51′ 42″,8.14,M1V,B,73050,40,,1995,https://en.wikipedia.org/wiki/Gliese_229
TYC 9486-927-1,111,13.3,,Octans,21h 26m 50.4s,－81° 40′ 29.3″,11.82,L3γ,2MASS J2126-8140,328725000,6900,,2009,https://en.wikipedia.org/wiki/TYC_9486-927-1
Epsilon Indi,11.8,47,,Indus,22h 03m 22s,–56° 47′ 09″,4.69,K5V,Ba,1532899.8,,,2003,https://en.wikipedia.org/wiki/Epsilon_Indi
HD 131664,180.8,18.15,,Apus,15h 00m 06s,−73° 32′ 07″,8.13,G3V,b,1951,3.17,0.638,2008,https://en.wikipedia.org/wiki/HD_131664
HD 136118,171,42,,Serpens,15h 18m 55s,−01° 35′ 32″,6.94,F9V,b,1209,1.45,0.352,2002,https://en.wikipedia.org/wiki/HD_136118
HD 140913,156.42,46,,Corona Borealis,15h 45m 07s,+28° 28′ 12″,8.07,G0V,b,147.94,0.54,0.61,1996,https://en.wikipedia.org/wiki/HD_140913
GQ Lupi,400,,1.8,Lupus,15h 49m 12s,–35° 39′ 03″,11.4,K7eV,b,,103,,2005,https://en.wikipedia.org/wiki/GQ_Lupi
HD 162020,101.95,15,,Scorpius,17h 50m 38s,–40° 19′ 06″,9.18,K2V,b,8.428198,0.0751,0.277,2000,https://en.wikipedia.org/wiki/HD_162020
Nu Ophiuchi,152.8,21.9,,Ophiuchus,17h 59m 01s,−09° 46′ 25″,3.33,K0III,b,536,,0.13,2004,https://en.wikipedia.org/wiki/Nu_Ophiuchi
HD 164427,127.52,46,,Telescopium,18h 04m 43s,−59° 12′ 35″,6.89,G4IV,b,108.55,0.46,0.55,2000,https://en.wikipedia.org/wiki/HD_164427
SCR 1845-6357,12.57,45,,Pavo,18h 45m 07s,−63° 57′ 43″,17.4,M8.5V,B,,4.1,,2006,https://en.wikipedia.org/wiki/SCR_1845-6357
COROT-3,2220,21.66,1.01,Aquila,19h 28m 13s,+00° 07′ 19″,13.3,G0V,b,4.2568,0.057,0,2008,https://en.wikipedia.org/wiki/COROT-3
15 Sagittae,57.7,65,,Sagitta,20h 04m 06s,+17° 04′ 13″,5.8,G1V,B,,14,,2002,https://en.wikipedia.org/wiki/15_Sagittae
Zeta Delphini,220,55,,Delphinus,20h 35m 19s,+14° 40′ 27″,4.65,A3V,B,,910,,2014,https://en.wikipedia.org/wiki/Zeta_Delphini
HD 202206,151.14,17.4,,Capricornus,21h 14m 58s,–20° 47′ 20″,8.08,G6V,b,255.87,0.83,0.435,2000,https://en.wikipedia.org/wiki/HD_202206
